variable,definicion,tipo,unidad,capa,archivos,construccion_notas
sha256,Huella criptográfica SHA-256 del archivo,texto,hexadecimal,metadatos,05_verificacion/manifiesto_resultados.csv,Permite verificar integridad byte por byte
sitios_referencia,Sitios publicados por Poorter et al. usados como referencia regional,texto,no aplica,entrada y procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,No implica que cada municipio tenga un sitio observado
suben_carbono_y_area_basal,Número de series con aumento conjunto de carbono y área basal,entero,series,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Suma 30 y define el numerador mínimo de la proporción estructural
tasa,Tasa de descuento evaluada en sensibilidad,numérico adimensional,proporción anual,procesada,02_resultados_y_diccionario/sensibilidad_valor_presente_guatemala_precios_2026.csv,Valores 0.02 0.04 y 0.05
tasa_descuento,Tasa de descuento central de la valoración,numérico adimensional,proporción anual,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Valor central 0.04
tipo_decision,Clase de regla que produjo la asignación territorial,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Lista explícita regla residual o unidad no municipal
tipo_unidad,Clase de unidad territorial,texto,categoría,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Municipio o unidad lacustre no municipal
trayectoria_mixta,Número de series con señales mixtas entre carbono y área basal,entero,series,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Suma cuatro y se incluye solo en el numerador máximo
trayectorias_desfavorables,Número agregado de series con disminución conjunta,entero,series,procesada,02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv,Suma 21
trayectorias_favorables,Número agregado de series con aumento conjunto,entero,series,procesada,02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv,Suma 30
trayectorias_mixtas,Número agregado de series con trayectoria mixta,entero,series,procesada,02_resultados_y_diccionario/intervalo_estructural_manglar_guatemala.csv,Suma cuatro
unidad,Unidad del parámetro de valoración,texto,no aplica,entrada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv,Se conserva exactamente para evitar mezclar flujos stocks y porcentajes
unidades,Número de unidades territoriales incluidas en el agregado,entero,unidades,procesada,02_resultados_y_diccionario/resultados_institucionales_departamentos_guatemala_2016_2020.csv; 02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv,Puede incluir unidades lacustres cuando el ámbito es nacional o departamental
uso_analitico,Condición de uso de un costo contextual,texto,categoría,entrada y procesada,00_trazabilidad_fuentes/costos_contextuales_no_aditivos_guatemala_2026.csv,Valor esperado Contexto no aditivo
valor,Valor numérico del parámetro de valoración,numérico,según unidad,entrada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv,Interpretar junto con parametro unidad anio_base fuente y nota
valor_unitario_gtq_ha_anio,Valor medio transferido por hectárea y año a precios de 2026,numérico,GTQ por ha por año,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,22553 por factor 1.32960218275 igual a 29986.5180275607
version_metodo,Versión de las reglas de correspondencia territorial,texto,versión,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Valor 1.0.0 en esta publicación
vp_cohorte_inferior_gtq,Valor presente del flujo de servicios asociado al límite inferior de una cohorte anual,numérico,GTQ,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/sensibilidad_valor_presente_guatemala_precios_2026.csv,Flujo anual inferior por factor de anualidad de 25 años
vp_cohorte_superior_gtq,Valor presente del flujo de servicios asociado al límite superior de una cohorte anual,numérico,GTQ,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/sensibilidad_valor_presente_guatemala_precios_2026.csv,Flujo anual superior por factor de anualidad de 25 años
vp_decada_inferior_gtq,Valor presente de diez cohortes del límite inferior del escenario,numérico,GTQ,procesada,02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Suma descontada de diez cohortes anuales no negativas
vp_decada_superior_gtq,Valor presente de diez cohortes del límite superior del escenario,numérico,GTQ,procesada,02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,Suma descontada de diez cohortes anuales no negativas
vp_diez_cohortes_inferior_gtq,Valor presente de diez cohortes constantes bajo el límite inferior del resultado,numérico,GTQ,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Cada cohorte se descuenta al inicio del horizonte
vp_diez_cohortes_superior_gtq,Valor presente de diez cohortes constantes bajo el límite superior del resultado,numérico,GTQ,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv,Cada cohorte se descuenta al inicio del horizonte
age_range_years,Rango de edades observado para el sitio de referencia,texto,años,fuente,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv,Se conserva según la tabla publicada
agb20_mg_ha,Biomasa aérea estimada a veinte años publicada para el sitio,numérico,Mg por ha,fuente,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv,Valor de referencia previo a convertirlo en porcentaje relativo
agb20_reproducida_mg_ha,Biomasa aérea a veinte años reproducida mediante el ajuste logarítmico,numérico,Mg por ha,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Se calcula antes de redondear el porcentaje relativo
agb_bosque_maduro_mediana_mg_ha,Mediana de biomasa aérea del bosque maduro usada como denominador,numérico,Mg por ha,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Excluye observaciones de biomasa superiores a 500 Mg por ha
country,País del sitio de referencia,texto,no aplica,fuente y trazabilidad,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Se conserva con la denominación de la fuente
cumple_redondeo_una_decimal,Indica si el porcentaje reproducido coincide con el publicado a una decimal,booleano,verdadero o falso,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Debe ser verdadero para los trece sitios verificables desde Dryad
diferencia_puntos_porcentuales,Diferencia entre porcentaje reproducido y publicado,numérico,puntos porcentuales,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Se usa para auditar la coincidencia antes del control de redondeo
fuente_verificacion,Fuente usada para verificar el valor del sitio,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Distingue el CSV público de Dryad y la tabla ampliada
observaciones_bosque_maduro,Número de observaciones válidas de bosque maduro usadas en la mediana,entero,observaciones,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Excluye biomasa superior a 500 Mg por ha
observaciones_bosque_secundario,Número de observaciones válidas de bosque secundario usadas en el ajuste,entero,observaciones,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Excluye edades iguales a cero y biomasa superior a 500 Mg por ha
porcentaje_publicado,Recuperación relativa de biomasa a veinte años publicada para el sitio,numérico,porcentaje,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Valor contra el cual se verifica el cálculo
porcentaje_reproducido,Recuperación relativa obtenida con la predicción y la mediana sin redondeo intermedio,numérico,porcentaje,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Se calcula como cien por AGB20 sobre la mediana de bosque maduro
porcentaje_reproducido_redondeado,Porcentaje reproducido redondeado a una decimal,numérico,porcentaje,verificación,05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Debe coincidir con porcentaje_publicado para los trece sitios verificables
rainfall_mm,Precipitación anual del sitio de referencia,numérico,mm por año,fuente y trazabilidad,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Se usa como contexto y no como regla municipal automática
redondeo,Regla de redondeo aplicada al intervalo regional,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,REG-SEC-MOT usa redondeo exterior en incrementos de 0.05
reference_number,Número de referencia bibliográfica asociado al sitio,texto anulable,no aplica,fuente,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv,Puede faltar cuando la tabla fuente no lo informa
regla_intervalo,Operación usada para formar el intervalo regional,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Mínimo y máximo o valor único según la región
relative_recovery_pct_20y,Recuperación relativa de biomasa aérea a veinte años publicada para el sitio,numérico anulable,porcentaje,fuente y trazabilidad,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Puede faltar en sitios usados solo como contexto
site_id,Identificador estable del sitio de referencia,texto,no aplica,fuente trazabilidad y verificación,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv; 05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Evita usar coincidencias difusas por nombre
site_name,Nombre publicado del sitio de referencia,texto,no aplica,fuente trazabilidad y verificación,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv; 05_verificacion/reproduccion_por_sitio_recuperacion_biomasa_20_anios.csv,Se muestra como etiqueta y no como llave primaria
source_locator,Localización del valor dentro de la fuente publicada,texto,no aplica,fuente y trazabilidad,00_trazabilidad_fuentes/sitios_referencia_recuperacion_biomasa_20_anios.csv; 00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Permite auditar tabla fila o material suplementario
uso_sitio,Función del sitio dentro de la región analítica,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_region_sitio_recuperacion_biomasa_20_anios.csv,Distingue uso numérico y contextual
